experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
active_vm_count,BADP,10000,2000.0,3000,3000,3000,6.937493333332836,100.0,2.5246666666666666,81.57099697885197,3.03125,11.0,4316.0,0.006492850678733031
active_vm_count,BADP,10001,2000.0,3000,3000,3000,6.866879999999512,100.0,2.674,85.05636689725851,3.001388888888889,11.0,4271.0,0.012368465116279068
active_vm_count,BADP,10002,2000.0,3000,3000,3000,7.058773333332817,100.0,2.4326666666666665,81.48266496245405,3.079861111111111,4.0,4397.0,0.007935117967332124
active_vm_count,BADP,10003,2000.0,3000,3000,3000,6.916639999999499,100.0,2.144,79.68379446640316,3.0076388888888888,0.0,4319.0,0.00862354521038496
active_vm_count,BADP,10004,2000.0,3000,3000,3000,6.948319999999496,100.0,2.6696666666666666,82.9704567113848,3.040277777777778,9.0,4318.0,0.00973179347826087
active_vm_count,BADP,10005,2000.0,3000,3000,3000,6.825226666666187,100.0,2.8273333333333333,84.18370813234593,2.9923611111111112,12.0,4235.0,0.005681384892086331
active_vm_count,BADP,10006,2000.0,3000,2999,2999,6.916906666666172,99.96666666666667,2.653551183727909,79.99134948096886,3.0215277777777776,9.0,4304.0,0.009294686411149826
active_vm_count,BADP,10007,2000.0,3000,2998,2998,7.070933333332821,99.93333333333334,2.597731821214143,82.86367660076719,3.0875,11.0,4402.0,0.006477217553688142
active_vm_count,BADP,10008,2000.0,3000,2999,2999,6.9489066666661685,99.96666666666667,2.851950650216739,82.88892162639954,3.035416666666667,9.0,4324.0,0.005293881278538813
active_vm_count,BADP,10009,2000.0,3000,2998,2998,6.985653333332835,99.93333333333334,2.822881921280854,86.01256356565958,3.060416666666667,18.0,4337.0,0.006228240740740741
active_vm_count,BADP,10010,2000.0,3000,3000,3000,6.856799999999518,100.0,2.9553333333333334,80.25608194622279,3.0076388888888888,20.0,4253.0,0.008267432950191571
