experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
active_vm_count,BADP,10000,250.0,250,250,250,0.5568533333333328,100.0,2.528,72.62590596543393,1.4708333333333334,0.0,345.0,0.004016233766233767
active_vm_count,BADP,10001,250.0,250,250,250,0.5607999999999995,100.0,4.532,72.8278915329275,1.5,1.0,344.0,0.0018318181818181816
active_vm_count,BADP,10002,250.0,250,250,250,0.5768,100.0,4.428,72.8278915329275,1.5416666666666667,0.0,354.0,0.0017593103448275862
active_vm_count,BADP_PLUS,10000,250.0,250,250,250,0.5556799999999994,100.0,2.62,72.52378287632904,1.4583333333333333,0.0,346.0,0.009022077922077923
active_vm_count,BADP_PLUS,10001,250.0,250,250,250,0.5595733333333329,100.0,4.896,77.81447012909035,1.4708333333333334,0.0,348.0,0.010958333333333332
active_vm_count,BADP_PLUS,10002,250.0,250,250,250,0.5739733333333333,100.0,4.652,77.81447012909035,1.5083333333333333,0.0,357.0,0.012177241379310345
active_vm_count,CEMA,10000,250.0,250,151,76,0.37980666666666885,30.4,39.794701986754966,99.73893644289036,7.095833333333333,1681.0,16.0,0.005763636363636363
active_vm_count,CEMA,10001,250.0,250,160,109,0.3849466666666675,43.6,27.55,99.7278934001781,6.145833333333333,1424.0,47.0,0.002790909090909091
active_vm_count,CEMA,10002,250.0,250,171,84,0.4178600000000046,33.6,45.67251461988304,99.75293113516912,7.495833333333334,1790.0,1.0,0.0028820689655172415
active_vm_count,HPA,10000,250.0,250,151,82,0.39286000000000276,32.8,37.88079470198676,99.74312269394237,7.45,1758.0,13.0,0.006062337662337662
active_vm_count,HPA,10001,250.0,250,166,109,0.403160000000001,43.6,28.216867469879517,99.73411969447936,6.720833333333333,1562.0,43.0,0.004347727272727272
active_vm_count,HPA,10002,250.0,250,175,96,0.44096000000000535,38.4,40.94857142857143,99.75809289232934,7.9,1879.0,0.0,0.0023462068965517243
burst_sensitivity,AMRP,10000,0.5,250,152,73,0.5520933333333435,29.2,42.796052631578945,99.71443706855166,10.008333333333333,2368.0,5.0,0.003848872180451128
burst_sensitivity,AMRP,10001,0.5,250,166,101,0.5265200000000071,40.4,37.993975903614455,80.99692419033833,8.816666666666666,2057.0,7.0,0.011737226277372264
burst_sensitivity,AMRP,10002,0.5,250,168,98,0.5356133333333403,39.2,35.845238095238095,99.70724586534915,8.820833333333333,2058.0,9.0,0.010086363636363636
burst_sensitivity,BADP,10000,0.5,250,230,230,0.6313600000000017,92.0,2.9347826086956523,72.60044642857143,1.6625,4.0,392.0,0.005323308270676692
burst_sensitivity,BADP,10001,0.5,250,235,235,0.6361600000000017,94.0,3.106382978723404,77.84772182254196,1.675,2.0,395.0,0.004634306569343066
burst_sensitivity,BADP,10002,0.5,250,235,235,0.6268266666666681,94.0,2.927659574468085,83.9810528582194,1.6625,5.0,387.0,0.0047030303030303035
burst_sensitivity,BADP_PLUS,10000,0.5,250,231,231,0.6340800000000018,92.4,2.965367965367965,72.52378287632904,1.6625,0.0,395.0,0.0224390977443609
burst_sensitivity,BADP_PLUS,10001,0.5,250,235,235,0.6363733333333351,94.0,3.157446808510638,77.81447012909035,1.6708333333333334,0.0,396.0,0.02094963503649635
burst_sensitivity,BADP_PLUS,10002,0.5,250,235,235,0.6267733333333347,94.0,2.8,77.81447012909035,1.6458333333333333,0.0,390.0,0.012657575757575758
burst_sensitivity,CEMA,10000,0.5,250,157,79,0.476280000000005,31.6,44.63057324840764,99.72370706182195,8.175,1931.0,25.0,0.003482706766917293
burst_sensitivity,CEMA,10001,0.5,250,165,84,0.4825600000000064,33.6,40.92121212121212,99.7245457816154,8.275,1951.0,26.0,0.009334306569343065
burst_sensitivity,CEMA,10002,0.5,250,163,82,0.4762933333333389,32.8,40.147239263803684,99.7098114283387,8.1,1903.0,34.0,0.009590909090909091
burst_sensitivity,AMRP,10000,1.1,250,173,105,0.6165466666666746,42.0,32.84393063583815,99.74657094979003,8.970833333333333,2110.0,26.0,0.003606206896551724
burst_sensitivity,AMRP,10001,1.1,250,191,131,0.6584933333333436,52.4,33.12041884816754,99.7452217911355,9.395833333333334,2235.0,0.0,0.007054482758620689
burst_sensitivity,AMRP,10002,1.1,250,190,126,0.6389066666666773,50.4,32.963157894736845,86.9959156558325,9.416666666666666,2185.0,0.0,0.006877707006369427
burst_sensitivity,BADP,10000,1.1,250,244,244,0.7177600000000041,97.6,5.213114754098361,72.60044642857143,1.8875,0.0,446.0,0.004695862068965517
burst_sensitivity,BADP,10001,1.1,250,246,246,0.7193600000000041,98.4,4.760162601626016,72.60044642857143,1.8916666666666666,0.0,447.0,0.004184827586206897
burst_sensitivity,BADP,10002,1.1,250,249,249,0.6735200000000028,99.6,3.6586345381526106,60.53832541678308,1.7666666666666666,0.0,419.0,0.0035312101910828027
burst_sensitivity,BADP_PLUS,10000,1.1,250,244,244,0.717280000000004,97.6,5.262295081967213,72.52378287632904,1.8791666666666667,0.0,447.0,0.02115448275862069
burst_sensitivity,BADP_PLUS,10001,1.1,250,246,246,0.7188800000000041,98.4,4.735772357723577,72.52378287632904,1.8833333333333333,0.0,448.0,0.14768275862068966
burst_sensitivity,BADP_PLUS,10002,1.1,250,249,249,0.6737333333333362,99.6,3.678714859437751,60.46468228048894,1.7625,0.0,420.0,0.018382165605095542
burst_sensitivity,CEMA,10000,1.1,250,175,107,0.5880200000000079,42.8,33.02857142857143,99.7612950826787,8.333333333333334,1914.0,82.0,0.0024882758620689656
burst_sensitivity,CEMA,10001,1.1,250,180,81,0.5941666666666766,32.4,42.57222222222222,99.76593420623324,8.379166666666666,1939.0,71.0,0.005351034482758621
burst_sensitivity,CEMA,10002,1.1,250,177,66,0.5735733333333424,26.4,42.29943502824859,99.76899815198522,8.5875,2008.0,48.0,0.002167515923566879
cost_comparison,AMRP,10000,100.0,100,44,11,0.19694666666666677,11.0,62.31818181818182,99.6817066732913,5.883333333333334,1404.0,1.0,0.04917042253521126
cost_comparison,AMRP,10001,100.0,100,44,17,0.20478666666666667,17.0,58.43181818181818,99.69668002500092,5.891666666666667,1404.0,2.0,0.02940806451612903
